,cap.english,cap.universal,categories.content,categories.friend,categories.network,categories.sentiment,categories.temporal,categories.user,display_scores.content,display_scores.english,display_scores.friend,display_scores.network,display_scores.sentiment,display_scores.temporal,display_scores.universal,display_scores.user,scores.english,scores.universal,user.id_str,list2
141,0.110463768,0.885040207,0.27456232,0.91362236,0.911435918,0.443264812,0.946764797,0.965276172,1.4,2.6,4.6,4.6,2.2,4.7,4.8,4.8,0.527496824,0.950042715,715502185069424000,Random
142,0.961514759,0.885040207,0.968476017,0.932307174,0.884728376,0.959783561,0.949803923,0.916636687,4.8,4.9,4.7,4.4,4.8,4.7,4.8,4.6,0.975729596,0.950042715,1017341191040480000,Random
143,0.666276782,0.885040207,0.587672863,0.815250092,0.627138728,0.36433814,0.940158836,0.881952456,2.9,4.4,4.1,3.1,1.8,4.7,4.8,4.4,0.8701192,0.950042715,1043210354115920000,Random
144,0.511451548,0.885040207,0.802367303,0.923351319,0.588320404,0.443264812,0.861109621,0.855595507,4,4,4.6,2.9,2.2,4.3,4.8,4.3,0.800598225,0.950042715,1036665530902440000,Random
145,0.180362038,0.885040207,0.110250333,0.69316718,0.787402011,0.105876723,0.683681567,0.972263009,0.6,3.1,3.5,3.9,0.5,3.4,4.8,4.9,0.610975721,0.950042715,874558533248876000,Random
146,0.740522658,0.873148792,0.915147612,0.868322344,0.936598399,0.443264812,0.949803923,0.932728293,4.6,4.5,4.3,4.7,2.2,4.7,4.7,4.7,0.89641407,0.945985488,1036956583161420000,Random
147,0.075832357,0.873148792,0.621031119,0.91362236,0.911435918,0.91982315,0.746623074,0.970100821,3.1,2.3,4.6,4.6,4.6,3.7,4.7,4.9,0.463592191,0.945985488,769848982990311000,Random
148,0.938706315,0.873148792,0.823570814,0.868322344,0.568829433,0.933374264,0.706660902,0.970100821,4.1,4.8,4.3,2.8,4.7,3.5,4.7,4.9,0.963289157,0.945985488,886236162750373000,Random
149,0.863746418,0.859956387,0.868717243,0.707220047,0.701859505,0.878020781,0.427175994,0.959705336,4.3,4.7,3.5,3.5,4.4,2.1,4.7,4.8,0.935231612,0.941619005,4687840987,Random
150,0.386842593,0.859956387,0.536184833,0.91362236,0.911435918,0.0384138,0.910555773,0.835428345,2.7,3.7,4.6,4.6,0.2,4.6,4.7,4.2,0.740529101,0.941619005,2991805250,Random
