,cap.english,cap.universal,categories.content,categories.friend,categories.network,categories.sentiment,categories.temporal,categories.user,display_scores.content,display_scores.english,display_scores.friend,display_scores.network,display_scores.sentiment,display_scores.temporal,display_scores.universal,display_scores.user,scores.english,scores.universal,user.id_str,list2,bot
1578,0.011259347,0.067479061,0.349176123,0.882892467,0.899717411,0.592828268,0.656281566,0.368296058,1.7,1,4.4,4.5,3,3.3,2.2,1.8,0.193749479,0.433677434,1046019369195780000,Random,FALSE
1579,0.001418792,0.003626193,0.091326306,0.08852387,0.15100759,0.046512789,0.229193749,0.040410786,0.5,0.2,0.4,0.8,0.2,1.1,0.4,0.2,0.03265991,0.082539663,10012782,Random,FALSE
1580,0.001634715,0.003353677,0.080385489,0.17823307,0.213883707,0.174303676,0.123822034,0.034824478,0.4,0.2,0.9,1.1,0.9,0.6,0.4,0.2,0.041789835,0.076513107,375185329,Random,FALSE
1581,0.002618313,0.004725362,0.318160931,0.356398198,0.224270463,0.194309275,0.26368444,0.103156614,1.6,0.4,1.8,1.1,1,1.3,0.5,0.5,0.073433262,0.103285735,54857019,Random,FALSE
1582,0.011259347,0.012907437,0.536184833,0.91362236,0.911435918,0.443264812,0.928799391,0.187396141,2.7,1,4.6,4.6,2.2,4.6,1,0.9,0.193749479,0.194667737,990868735543185000,Random,FALSE
1583,0.001309081,0.001801868,0.054380119,0.168637131,0.05312993,0.040950532,0.093921781,0.023929061,0.3,0.1,0.8,0.3,0.2,0.5,0.1,0.1,0.027677698,0.029913823,359595623,Random,FALSE
1584,0.0099223,0.104603479,0.041686826,0.356398198,0.136088798,0.063717928,0.105016524,0.350504092,0.2,0.9,1.8,0.7,0.3,0.5,2.6,1.8,0.180767269,0.515643331,994664655384596000,Random,FALSE
1585,0.005363701,0.023811569,0.260883085,0.168637131,0.1160555,0.216010314,0.161544007,0.423685421,1.3,0.6,0.8,0.6,1.1,0.8,1.3,2.1,0.125889289,0.267344003,917397101025296000,Random,FALSE
1586,0.006043447,0.006431293,0.149407927,0.142317413,0.293877765,0.204946688,0.11725226,0.118360101,0.7,0.7,0.7,1.5,1,0.6,0.6,0.6,0.135582577,0.128515834,3105939585,Random,FALSE
1587,0.003134129,0.003116818,0.158495458,0.257367141,0.122431359,0.527300673,0.079246657,0.027817973,0.8,0.4,1.3,0.6,2.6,0.4,0.4,0.1,0.085924,0.070892573,767308322,Random,FALSE
1588,0.011259347,0.048615291,0.27456232,0.502884905,0.184848764,0.239414795,0.314545331,0.058361975,1.4,1,2.5,0.9,1.2,1.6,1.9,0.3,0.193749479,0.374266788,3059166790,Random,FALSE
